OBJECTID *,Shape *,ID,Region,County,Type,School.Name,City,Grade.Range,Total.Students,Percent.Immunized,county_norm,school_key,full_address,latitude,longitude,_merge
117,Point,117,Upstate,Greenville,Public,Washington Center,Greenville,'3k-12,120,0.875,greenville,washington center,"2 Betty Spencer Drive, Greenville, SC 29607",34.814175,-82.367263,both
118,Point,118,Upstate,Greenville,Public,Greer Preparatory Academy,Taylors,'6th-7th,150,0.833,greenville,greer preparatory academy,"4520 Locust Hill Road Taylors, SC",34.999564,-82.351263,left_only
119,Point,119,Upstate,Greenville,Private,Prince of Peace Catholic School,Taylors,'5k-8th,160,0.938,greenville,prince of peace catholic school,"1209 BRUSHY CREEK RD, TAYLORS, SC 29687",34.89659,-82.306071,both
120,Point,120,Upstate,Greenville,Private,As-Sabeel Academy of Greenville,Greer,'K4-8th,169,0.882,greenville,as-sabeel academy of greenville,"1601 Clement Rd, Greer, SC 29650",34.91973,-82.272058,left_only
121,Point,121,Upstate,Greenville,Private,Five Oaks Academy,Simpsonville,'2year-8th grade,192,0.88,greenville,five oaks academy,"1101 JONESVILLE RD, SIMPSONVILLE, SC 29681",34.76205,-82.237341,both
122,Point,122,Upstate,Greenville,Private,Mauldin Christian Academy,Mauldin,'5K-5th,206,0.806,greenville,mauldin christian academy,"150 S MAIN ST, MAULDIN, SC 29662",34.77599,-82.309421,both
123,Point,123,Upstate,Greenville,Public,Reedy Laurel Elementary,greenville,'k3-2nd,213,0.911,greenville,reedy laurel elementary,"61 Isbell Ln, Greenville, SC 29607",34.811343,-82.345205,left_only
124,Point,124,Upstate,Greenville,Public,SC Governor's School for the Arts and Humanities,Greenville,'10-12,235,0.953,greenville,sc governor's school for the arts and humanities,"15 University St, Greenville, SC 29601",34.843453,-82.40239,left_only
125,Point,125,Upstate,Greenville,Public,Tigerville Elementary,Taylors,'K4-5,249,0.851,greenville,tigerville elementary,"25 Tigerville Elementary School Road, Taylors, SC 29687",35.074122,-82.368134,both
126,Point,126,Upstate,Greenville,Public,East Link Academy,Greenville,'K5 - 8,252,0.853,greenville,east link academy,"78 Global Drive Drive Suite 200, Greenville, SC 29607",34.807649,-82.34331,both
